timeStamp,baseCurrency,foreignCurrency,Open,High,Low,Close,Volume,baseCurrencyNetSentiment,foreignCurrencyNetSentiment,actualMomentum,machinePredictedMomentum
8/1/2019 23:00,USD,CHF,0.9905,0.99051,0.98976,0.98998,1515.459993,P,P,P,P
8/2/2019 0:00,USD,CHF,0.98999,0.99026,0.98752,0.98807,6045.739979,P,P,P,P
8/2/2019 1:00,USD,CHF,0.98807,0.9887,0.98755,0.9887,8632.44997,P,P,P,P
8/2/2019 2:00,USD,CHF,0.9887,0.98912,0.98789,0.98871,7877.729963,P,P,P,P
8/2/2019 3:00,USD,CHF,0.98871,0.98959,0.98852,0.98924,3905.999991,P,P,P,P
8/2/2019 4:00,USD,CHF,0.98922,0.98929,0.98857,0.98871,3550.269986,P,P,P,P
8/2/2019 5:00,USD,CHF,0.9887,0.98924,0.9887,0.98906,4995.999979,P,P,P,P
8/2/2019 6:00,USD,CHF,0.98906,0.98917,0.98786,0.98824,8877.429984,P,P,P,P
8/2/2019 7:00,USD,CHF,0.98824,0.98843,0.98526,0.98546,13896.58998,P,P,P,P
8/2/2019 8:00,USD,CHF,0.98545,0.98662,0.98543,0.98642,10333.68997,P,P,P,P
8/2/2019 9:00,USD,CHF,0.98644,0.98674,0.98551,0.986,6875.939963,P,P,P,P
8/2/2019 10:00,USD,CHF,0.98601,0.98636,0.98517,0.98523,8116.759965,P,P,P,P
8/2/2019 11:00,USD,CHF,0.98523,0.98551,0.98423,0.98441,5977.159971,P,P,P,P
8/2/2019 12:00,USD,CHF,0.98442,0.98631,0.9837,0.98621,19082.78994,P,P,P,P
8/2/2019 13:00,USD,CHF,0.98621,0.98726,0.98354,0.98365,22629.98994,P,P,P,P
8/2/2019 14:00,USD,CHF,0.98366,0.98405,0.98276,0.98293,16295.8599,P,P,P,P
8/2/2019 15:00,USD,CHF,0.98299,0.98345,0.98198,0.98201,10972.89994,P,P,P,P
8/2/2019 16:00,USD,CHF,0.982,0.98324,0.9817,0.98173,7061.48995,P,P,P,P
